COD_ACM,NUMERO_ORIGINAL_SNC,NoPredial,Nombre,DOCUMENTO,Direccion,MatriculaInmobiliaria_ACM,Base Nueva IGAC 20260612
254730400000000150801800000114,254730400000000150801800000114,0400000000150801800000114,CLEAN AND LIFE S.A. DE COLOMBIA,8301167181,K 1 3 52 PARQUEO-2,050C-1751764,PENDIENTE RECIBO
254730000000000015489910030003,254730000000000015489910030003,0000000000015489910030003,FIDUCIARIA BOGOTA S A,8300558977,TV 5 16A S 14 T 10 AP 339 CJ DE USO MIXTO PACIFIKA,050C-2230733,PENDIENTE RECIBO
254730100000002760913900002606,254730100000002760913900002606,0100000002760913900002606,GILMA DAZA LOPEZ,52006558,K 19A 10 03 Mz C1 Lo1 Cs B,50C-1788500,PENDIENTE RECIBO
254730100000002760913900002607,254730100000002760913900002607,0100000002760913900002607,WILSON GONZALEZ FERNANDEZ,79818622,K 19A 10 05 Mz C1 Lo 1 Cs A,50C-1788501,PENDIENTE RECIBO
254730000000000010008000000000,254730000000000010008000000000,0000000000010008000000000,FIDUCIARIA DE OCCIDENTE SA,8300540762,ALCALA,050C-1590188,PENDIENTE RECIBO
254730100000006610901900000035,254730100000006610901900000035,0100000006610901900000035,ANGEL HUMBERTO TORRES RAMIREZ,79903579,C 14A 18A 54 Cs B,50C-1809143,PENDIENTE RECIBO
254730100000006610901900000034,254730100000006610901900000034,0100000006610901900000034,JUAN ERNESTO VACA VEGA,80215803,C 14A 18A 52 Cs A,50C-1809142,PENDIENTE RECIBO
254730100000006570901900000032,254730100000006570901900000032,0100000006570901900000032,MARIA ESTHER HERRERA,41603059,K 19A 14 02 MZ D1 LO 1 CS A,50C-180426,PENDIENTE RECIBO
254730100000006570901900000031,254730100000006570901900000031,0100000006570901900000031,YOBANI PALMA BARRAGAN,86010947,K 19A 14 04 MZ D1 LO 1 CS B,50C-1804225,PENDIENTE RECIBO
254730100000000520001000000000,254730100000000520001000000000,0100000000520001000000000,MIGUEL ANGEL SAENZ ROBLES,6772757,C 22B 2 38 K 3 22B 06,50C-1849968,PENDIENTE RECIBO
254730100000000260009000000000,254730100000000260009000000000,0100000000260009000000000,HECTOR HELI GOMEZ BOTERO,79672473,K 3 4 13,50C-845723,PENDIENTE RECIBO
254730100000000080024000000000,254730100000000080024000000000,0100000000080024000000000,HERNANDO AGUILAR CARDENAS,13760722,C 3 1 36 E,50C-423775,PENDIENTE RECIBO
254730100000000260005000000000,254730100000000260005000000000,0100000000260005000000000,ROBERTO ROBLES ANGEL,19352183,C 5 3 13,50C-1532521,PENDIENTE RECIBO
254730100000000620004000000000,254730100000000620004000000000,0100000000620004000000000,JAVIER DARIO GARZON RODRIGUEZ,80656388,K 3 20 44 48,50C-484694,PENDIENTE RECIBO
254730100000000620010000000000,254730100000000620010000000000,0100000000620010000000000,JAVIER DARIO GARZON RODRIGUEZ,80656388,K 2 20 47 Lo 12 Mz A,50C-494433,PENDIENTE RECIBO
254730000000000010563400000000,254730000000000010563000000000,0000000000010563400000000,MUNICIPIO DE MOSQUERA,8999993423,AFECTACION LINEA DE ALTA TENSION,50C-1926050,PENDIENTE RECIBO
254730000000000010564400000000,254730000000000010564000000000,0000000000010564400000000,MUNICIPIO DE MOSQUERA,8999993423,PARQUE 1,50C-1926051,PENDIENTE RECIBO
254730000000000010565400000000,254730000000000010565000000000,0000000000010565400000000,MUNICIPIO DE MOSQUERA,8999993423,PARQUE 2,50C-1926052,PENDIENTE RECIBO
254730000000000010566400000000,254730000000000010566000000000,0000000000010566400000000,MUNICIPIO DE MOSQUERA,8999993423,PARQUE 3,50C-1926053,PENDIENTE RECIBO
254730000000000010567400000000,254730000000000010567000000000,0000000000010567400000000,MUNICIPIO DE MOSQUERA,8999993423,VIA V-1A,50C-1926054,PENDIENTE RECIBO
254730000000000010568400000000,254730000000000010568000000000,0000000000010568400000000,MUNICIPIO DE MOSQUERA,8999993423,PLAZOLETA PEATONAL No 1,50C-1926055,PENDIENTE RECIBO
254730000000000010569400000000,254730000000000010569000000000,0000000000010569400000000,MUNICIPIO DE MOSQUERA,8999993423,PLAZOLETA PEATONAL No. 2,50C-1926056,PENDIENTE RECIBO
254730100000000160028000000000,0,0100000000160028000000000,IMAGENES DE LA SABANA S.A.S.,8040172355,C 5 1 09,50C-1905924,PENDIENTE RECIBO
254730100000000080027000000000,254730100000000080027000000000,0100000000080027000000000,ANA MARGOTH ZAMBRANO PARRA,39750832,C 3 1 04,50C-984755,PENDIENTE RECIBO
254730100000003960002000000000,254730100000003960002000000000,0100000003960002000000000,ANA LUCIA DIAZ,35313393,C 19B 5A 13 E,50C-561501,PENDIENTE RECIBO
254730100000000220021000000000,254730100000000220021000000000,0100000000220021000000000,CARLOS MAURICIO GOMEZ CARRILO,88239726,K 3 2 09 S,50C-1597686,PENDIENTE RECIBO
254730100000002220009000000000,254730100000002220009000000000,0100000002220009000000000,JOSE JAVIER MOLINA CUESTA,1015426190,C 17 11A 20,50C-1790322,PENDIENTE RECIBO
254730100000000900046000000000,0,0100000000900046000000000,JOSE MARCELIANO MANRIQUE PERICO,4258917,C 2 5 01,50C-1787089,PENDIENTE RECIBO
254730100000000230004000000000,254730100000000230004000000000,0100000000230004000000000,OLEGARIO CASTRO CAMARGO,74359557,K 3 1 45,50C-175535,PENDIENTE RECIBO
254730100000003170010000000000,254730100000003170010000000000,0100000003170010000000000,JUAN EMILIO RODRIGUEZ CARDENAS,19295179,K 5E 20 29 35 39 BR IREGUI II,50C-1405431,PENDIENTE RECIBO
254730100000001260047000000000,254730100000001260047000000000,0100000001260047000000000,SANDRA MILENA ZULUAGA ARISTIZABAL,52855335,D 19 3 39,50C-1965819,PENDIENTE RECIBO
254730100000000190011000000000,254730100000000190011000000000,0100000000190011000000000,ANIBAL JIMENEZ CONTRERAS,243883,K 3 1 46,50C-1498941,PENDIENTE RECIBO
254730100000000240005000000000,254730100000000240005000000000,0100000000240005000000000,ORLANDO SOPO SUSATAMA,17136524,C 3 3 27,50C-1156396,PENDIENTE RECIBO
254730100000003930001000000000,254730100000003930001000000000,0100000003930001000000000,PASTOR SANDOVAL ROMERO,79110626,C 19B 5A 12 E MZ F,50C-1312276,PENDIENTE RECIBO
254730000000000010802800006348,254730000000000010802800006348,0000000000010802800006348,IMSAJOR SAS,9001412568,LO 71 MZ P7,050C-1924662,PENDIENTE RECIBO
254730000000000010802800006349,254730000000000010802800006349,0000000000010802800006349,IMSAJOR SAS,9001412568,LO 72 MZ P7,050C-1924663,PENDIENTE RECIBO
254730000000000010802800006354,254730000000000010802800006354,0000000000010802800006354,RAPI RICAS S.A.S.,9003951767,LO 77 MZ P7,050C-1924668,PENDIENTE RECIBO
254730000000000010802800006365,254730000000000010802800006365,0000000000010802800006365,BANCO CORPBANCA COLOMBIA S.A. NIT 890.903.937-0 FIDEICOMISO DE ADMINISTRACION,8909039370,LO 88 MZ P8,050C-1924679,PENDIENTE RECIBO
254730000000000010802800006366,254730000000000010802800006366,0000000000010802800006366,BANCO CORPBANCA COLOMBIA S.A. NIT 890.903.937-0 FIDEICOMISO DE ADMINISTRACION,8909039370,LO 89 MZ P8,050C-1924680,PENDIENTE RECIBO
254730000000000010901900000193,254730000000000010901900000193,0000000000010901900000193,LUIS GARZON ESPINOSA,2930179,L COMERCIAL 126,050C-1754641,PENDIENTE RECIBO
254730000000000010901900000194,254730000000000010901900000194,0000000000010901900000194,IMSAJOR SAS,9001412568,L COMERCIAL 127,050C-1754642,PENDIENTE RECIBO
254730000000000010901900000195,254730000000000010901900000195,0000000000010901900000195,IMSAJOR SAS,9001412568,L COMERCIAL 129,050C-1754643,PENDIENTE RECIBO
254730000000000010901900000196,254730000000000010901900000196,0000000000010901900000196,IMSAJOR SAS,9001412568,L COMERCIAL 130,050C-1754644,PENDIENTE RECIBO
254730000000000010901900000197,254730000000000010901900000197,0000000000010901900000197,IMSAJOR SAS,9001412568,L COMERCIAL 131,050C-1754645,PENDIENTE RECIBO
254730000000000010901900000198,254730000000000010901900000198,0000000000010901900000198,JOSE DAMIAN PASSARINI SUAREZ,19387885,L COMERCIAL 132,050C-1754646,PENDIENTE RECIBO
254730000000000010901900000199,254730000000000010901900000199,0000000000010901900000199,JOSE DE JESUS MANCERA RODRIGUEZ,17053568,L COMERCIAL 133,050C-1754647,PENDIENTE RECIBO
254730000000000010901900000200,254730000000000010901900000200,0000000000010901900000200,PAOLA ANDREA HERNANDEZ INGA,52517515,L COMERCIAL 134,050C-1754648,PENDIENTE RECIBO
254730000000000010901900000201,254730000000000010901900000201,0000000000010901900000201,HENRY ALEXANDER CAMARGO CABALLERO,79691268,L COMERCIAL 135,050C-1754649,PENDIENTE RECIBO
254730000000000010901900000202,254730000000000010901900000202,0000000000010901900000202,IMSAJOR SAS,9001412568,L COMERCIAL 136,050C-1754650,PENDIENTE RECIBO
254730000000000010901900000213,254730000000000010901900000213,0000000000010901900000213,JEFERSONN RODRIGUEZ MORILLO,6108712,L COMIDAS 128,050C-1754661,PENDIENTE RECIBO
254730000000000010901900000252,254730000000000010901900000252,0000000000010901900000252,IMSAJOR SAS,9001412568,L COMIDAS 183,050C-1754700,PENDIENTE RECIBO
